City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Chiang Khong,TH,2023-02-01 02:59:35,20.2613,100.4046,81.64,41,37,1.3
126,Druzhba,UA,2023-02-01 02:59:35,52.0428,33.9453,29.16,97,99,6.51
127,Ertil,RU,2023-02-01 02:59:36,51.8406,40.8056,22.86,97,100,4.29
128,Saint George,US,2023-02-01 02:56:52,37.1041,-113.5841,32.95,36,0,9.22
129,Lander,US,2023-02-01 02:56:54,42.833,-108.7307,32.59,70,0,3.44
130,Bandar,ID,2023-02-01 02:59:37,2.05,99.75,78.55,84,98,1.36
131,Cherskiy,RU,2023-02-01 02:55:19,68.75,161.3,-11.65,100,54,6.13
132,Wertheim,DE,2023-02-01 02:55:59,49.7575,9.5094,42.49,92,100,13.96
133,Dzhebariki-Khaya,RU,2023-02-01 02:59:39,62.2167,135.8,-28.46,90,100,6.85
134,Fort Nelson,CA,2023-02-01 02:59:39,58.8053,-122.7002,4.59,83,100,6.91
135,Inhambane,MZ,2023-02-01 02:59:39,-23.865,35.3833,77.04,70,68,10.07
136,Imbituba,BR,2023-02-01 02:56:57,-28.24,-48.6703,72.95,85,5,4.7
137,Bembereke,BJ,2023-02-01 02:59:41,10.2283,2.6634,72.77,12,87,5.3
138,Thunder Bay,CA,2023-02-01 02:48:42,48.4001,-89.3168,1.38,65,75,6.91
139,Broken Hill,AU,2023-02-01 02:55:00,-31.95,141.4333,78.46,29,0,11.45
140,Carnarvon,AU,2023-02-01 02:59:41,-24.8667,113.6333,82.9,63,31,14.52
141,Ejura,GH,2023-02-01 02:59:41,7.3856,-1.3562,74.53,64,30,4.29
142,Severo-Kurilsk,RU,2023-02-01 02:55:48,50.6789,156.125,25.54,52,63,3.47
143,Ponta Grossa,BR,2023-02-01 02:59:03,-25.095,-50.1619,63.28,99,100,3.56
144,East London,ZA,2023-02-01 02:59:42,-33.0153,27.9116,70.79,82,4,4.94
145,Saint-Joseph,RE,2023-02-01 02:59:44,-21.3667,55.6167,75.58,85,83,11.52
146,Siniscola,IT,2023-02-01 02:59:45,40.5719,9.6922,38.75,86,0,5.3
147,Luderitz,NA,2023-02-01 02:59:20,-26.6481,15.1594,60.13,93,6,10.85
148,Kununurra,AU,2023-02-01 02:59:46,-15.7667,128.7333,87.78,70,75,5.75
149,Alice Springs,AU,2023-02-01 02:55:50,-23.7,133.8833,78.35,61,100,10.36
150,Tessalit,ML,2023-02-01 02:50:32,20.1986,1.0114,58.66,12,3,8.97
151,Komsomolskiy,UZ,2023-02-01 02:59:47,40.4272,71.7189,30.92,74,100,2.3
152,Conakry,GN,2023-02-01 02:57:55,9.538,-13.6773,77.86,67,0,2.08
153,Camana,PE,2023-02-01 02:55:51,-16.6228,-72.7111,74.28,89,100,5.35
154,Severobaykalsk,RU,2023-02-01 02:59:48,55.65,109.3167,-1.8,84,81,1.92
155,Barrow,US,2023-02-01 02:59:49,71.2906,-156.7887,-5.01,90,6,22.53
156,Carauari,BR,2023-02-01 02:56:19,-4.8828,-66.8958,70.86,98,95,2.13
157,Palmer,US,2023-02-01 02:55:29,42.1584,-72.3287,26.24,65,40,6.91
158,Fort-Shevchenko,KZ,2023-02-01 02:59:51,44.5086,50.263,36.03,65,100,5.99
159,Shanghai,CN,2023-02-01 02:58:51,31.2222,121.4581,56.93,47,0,8.95
160,Sao Jose Da Coroa Grande,BR,2023-02-01 02:59:52,-8.8978,-35.1478,77.27,83,63,7.54
161,Tuktoyaktuk,CA,2023-02-01 02:59:52,69.4541,-133.0374,-36.4,67,20,4.61
162,Kvitok,RU,2023-02-01 02:59:53,56.0724,98.4813,9.37,92,100,2.24
163,Mar Del Plata,AR,2023-02-01 02:59:53,-38.0023,-57.5575,68.95,88,75,7.0
164,Axim,GH,2023-02-01 02:59:53,4.8699,-2.2405,77.38,87,87,0.11
165,Sinnamary,GF,2023-02-01 02:55:59,5.3833,-52.95,74.44,90,91,3.06
166,Portland,US,2023-02-01 02:57:12,45.5234,-122.6762,38.41,67,0,1.99
167,Kollam,IN,2023-02-01 02:59:56,8.8833,76.6,76.53,83,98,4.05
168,Tiksi,RU,2023-02-01 02:59:56,71.6872,128.8694,-0.31,98,100,8.55
169,Provideniya,RU,2023-02-01 02:59:57,64.3833,-173.3,23.36,86,100,0.0
170,Khatanga,RU,2023-02-01 02:59:57,71.9667,102.5,-44.57,100,64,3.09
171,Soyo,AO,2023-02-01 02:55:48,-6.1349,12.3689,79.29,87,100,7.67
172,Ewo,CG,2023-02-01 02:59:57,-0.8725,14.8206,73.54,73,75,2.48
173,Dingle,PH,2023-02-01 02:59:58,10.9995,122.6711,82.62,78,54,15.05
174,Tahe,CN,2023-02-01 02:59:59,52.3333,124.7333,8.17,61,11,11.07
175,Ancud,CL,2023-02-01 02:59:59,-41.8697,-73.8203,51.82,83,1,3.24
176,Pitkyaranta,RU,2023-02-01 03:00:00,61.5734,31.4792,18.0,95,100,3.8
177,Soller,ES,2023-02-01 03:00:00,39.7662,2.7152,42.03,83,0,4.05
178,Lipova,RO,2023-02-01 03:00:00,46.0833,21.7,35.24,98,100,7.99
179,Meiganga,CM,2023-02-01 03:00:01,6.5167,14.3,66.43,32,6,2.3
180,Griffith,US,2023-02-01 03:00:05,41.5284,-87.4237,9.09,66,0,5.75
181,Hobart,AU,2023-02-01 03:00:10,-42.8794,147.3294,66.25,62,75,3.44
182,Gazli,UZ,2023-02-01 03:00:11,40.1333,63.45,45.59,64,100,19.17
183,Victoria,HK,2023-02-01 02:56:23,22.2855,114.1577,73.96,80,62,3.0
184,Segou,ML,2023-02-01 03:00:22,13.4317,-6.2157,69.84,9,97,8.3
185,Nouadhibou,MR,2023-02-01 03:00:39,20.931,-17.0347,60.78,63,100,20.71
186,Weligama,LK,2023-02-01 03:00:42,5.9667,80.4167,77.4,80,98,10.02
187,Bathsheba,BB,2023-02-01 03:00:43,13.2167,-59.5167,74.01,83,20,9.22
188,Marathon,US,2023-02-01 03:00:44,44.9,-89.7668,4.66,70,0,10.36
189,Luau,AO,2023-02-01 03:00:45,-10.7073,22.2247,62.69,91,100,2.53
190,Iseyin,NG,2023-02-01 03:00:46,7.9667,3.6,74.75,72,47,1.81
191,Bud,US,2023-02-01 03:00:47,39.447,-86.1758,23.02,69,100,6.15
192,Alta Floresta,BR,2023-02-01 02:59:57,-9.8756,-56.0861,70.12,97,36,1.5
193,Isangel,VU,2023-02-01 03:00:49,-19.55,169.2667,83.62,73,100,2.75
194,Trairi,BR,2023-02-01 03:00:51,-3.2778,-39.2689,76.12,93,94,8.05
195,Chicama,PE,2023-02-01 03:00:51,-7.8447,-79.1469,66.74,67,98,4.47
196,Opuwo,NA,2023-02-01 03:00:51,-18.0607,13.84,66.63,75,99,3.36
197,Khromtau,KZ,2023-02-01 03:00:53,50.2503,58.4347,-7.22,90,13,5.68
198,Kavieng,PG,2023-02-01 03:00:54,-2.5744,150.7967,83.84,71,90,8.68
199,Usinsk,RU,2023-02-01 03:00:54,65.9939,57.5281,23.25,90,100,21.81
200,Dudinka,RU,2023-02-01 03:00:54,69.4058,86.1778,-0.45,93,99,15.35
201,Ahipara,NZ,2023-02-01 03:00:54,-35.1667,173.1667,73.33,77,100,8.9
202,Joacaba,BR,2023-02-01 02:57:34,-27.1781,-51.5047,65.79,99,40,2.66
203,Airai,TL,2023-02-01 03:00:55,-8.9266,125.4092,71.73,76,77,2.77
204,Gornyye Klyuchi,RU,2023-02-01 03:00:55,45.25,133.5,10.35,82,100,4.14
205,Rize,TR,2023-02-01 03:00:56,40.9044,40.8949,24.06,93,93,1.77
206,Ilebo,CD,2023-02-01 03:00:58,-4.3167,20.5833,69.62,86,100,1.32
207,Cabadiangan,PH,2023-02-01 03:00:58,9.7531,122.4739,85.64,67,57,14.61
208,Pierre,US,2023-02-01 03:00:07,44.3683,-100.351,6.82,89,11,3.98
209,Pangnirtung,CA,2023-02-01 02:55:59,66.1451,-65.7125,-20.54,72,100,4.59
210,Ogaminana,NG,2023-02-01 03:00:59,7.5946,6.2248,75.7,69,17,4.16
211,Klyuchi,RU,2023-02-01 03:00:59,52.2667,79.1667,-1.5,99,72,2.13
212,Henties Bay,NA,2023-02-01 03:01:00,-22.116,14.2845,63.63,86,100,4.68
213,Dunedin,NZ,2023-02-01 03:01:00,-45.8742,170.5036,64.8,10,100,3.0
214,Fairbanks,US,2023-02-01 02:58:55,64.8378,-147.7164,15.1,83,75,5.75
215,Herat,AF,2023-02-01 03:01:01,34.5,62.0,53.55,33,100,34.34
216,Visnes,NO,2023-02-01 03:01:02,59.3556,5.2242,43.21,75,20,19.57
217,Mackay,AU,2023-02-01 03:01:00,-21.15,149.2,91.69,78,100,12.44
218,Fort Morgan,US,2023-02-01 02:59:28,40.2503,-103.8,9.25,72,0,8.05
219,Nebolchi,RU,2023-02-01 03:01:07,59.1239,33.3454,27.39,95,99,8.99
220,Marion,US,2023-02-01 03:01:08,39.7684,-86.1555,23.38,69,40,5.75
221,Norman Wells,CA,2023-02-01 03:01:09,65.282,-126.8329,-25.56,75,20,0.0
222,Kalmunai,LK,2023-02-01 03:01:11,7.4167,81.8167,76.55,87,100,16.11
223,Buckeye,US,2023-02-01 03:01:12,33.3703,-112.5838,57.18,77,40,8.05
224,Moanda,GA,2023-02-01 03:01:13,-1.5575,13.2178,69.51,95,59,2.82
225,Saint-Georges,GD,2023-02-01 02:59:22,12.0564,-61.7485,73.08,88,20,2.3
226,Comodoro Rivadavia,AR,2023-02-01 02:59:19,-45.8667,-67.5,66.06,39,0,5.75
227,Victor Harbor,AU,2023-02-01 03:01:21,-35.5667,138.6167,64.0,78,100,1.01
228,Padang,ID,2023-02-01 03:01:22,-0.9492,100.3543,84.25,77,100,3.38
229,Baykit,RU,2023-02-01 03:01:26,61.67,96.37,-7.96,100,100,1.14
230,Iqaluit,CA,2023-02-01 03:01:28,63.7506,-68.5145,-15.07,76,75,13.8
231,Anderson,US,2023-02-01 03:00:36,34.5334,-82.6499,61.16,93,100,6.91
232,Nara,JP,2023-02-01 03:01:29,34.6851,135.8049,50.5,37,99,6.24
233,Turukhansk,RU,2023-02-01 03:01:32,65.8167,87.9833,2.64,96,98,9.64
234,Mitsamiouli,KM,2023-02-01 03:01:34,-11.3847,43.2844,80.56,76,49,4.34
235,Port Hawkesbury,CA,2023-02-01 02:56:52,45.6169,-61.3485,24.39,69,20,17.27
236,Nizhnevartovsk,RU,2023-02-01 03:01:36,60.9344,76.5531,12.22,92,100,8.95
237,Dawson Creek,CA,2023-02-01 03:01:39,55.7666,-120.2362,11.84,85,100,2.3
238,Vaitape,PF,2023-02-01 03:01:40,-16.5167,-151.75,81.32,75,100,14.07
239,Chitrakonda,IN,2023-02-01 03:01:40,18.1167,82.0833,73.78,48,70,1.86
240,Faanui,PF,2023-02-01 03:01:11,-16.4833,-151.75,81.28,75,100,14.07
241,Bima,ID,2023-02-01 03:01:41,-8.4667,118.7167,80.11,88,100,2.3
242,Chapais,CA,2023-02-01 03:01:10,49.7834,-74.8492,-9.62,94,100,9.6
243,Puri,IN,2023-02-01 03:01:41,19.8,85.85,73.92,43,96,8.97
244,Tsumeb,NA,2023-02-01 03:01:45,-19.2333,17.7167,67.37,84,100,4.12
245,Kutum,SD,2023-02-01 03:01:46,14.2,24.6667,62.8,20,63,6.53
246,Balkhash,KZ,2023-02-01 03:01:46,46.844,74.9804,18.21,86,75,4.47
247,Lorengau,PG,2023-02-01 03:01:47,-2.0226,147.2712,84.04,70,70,9.28
248,Lagoa,PT,2023-02-01 03:01:47,39.05,-27.9833,56.91,70,98,12.21
249,Kumluca,TR,2023-02-01 03:01:47,36.3703,30.2869,50.34,63,100,5.79
250,Constitucion,CL,2023-02-01 03:01:48,-35.3333,-72.4167,54.72,83,1,9.84
251,Wanning,CN,2023-02-01 03:01:48,18.8003,110.3967,74.71,74,19,4.92
252,Hasaki,JP,2023-02-01 03:00:28,35.7333,140.8333,55.22,41,18,22.57
253,Ahuimanu,US,2023-02-01 03:01:49,21.4447,-157.8378,80.78,81,20,6.91
254,Alim,PH,2023-02-01 03:01:49,9.5649,122.4876,84.97,68,51,16.42
255,Carrollton,US,2023-02-01 03:01:23,32.9537,-96.8903,29.01,84,100,3.0
256,Braganca Paulista,BR,2023-02-01 03:01:49,-22.94,-46.5556,65.82,96,100,1.88
257,Yangshan,CN,2023-02-01 03:01:49,28.7615,115.0287,64.92,38,0,2.08
258,Fiumicino,IT,2023-02-01 03:01:50,41.7675,12.2291,48.76,81,0,3.44
259,Namibe,AO,2023-02-01 03:01:50,-15.1961,12.1522,71.44,83,100,6.02
260,Guerrero Negro,MX,2023-02-01 03:01:46,27.9769,-114.0611,56.64,58,10,8.1
261,Katsuura,JP,2023-02-01 03:01:51,35.1333,140.3,53.62,53,13,23.94
262,Adjumani,UG,2023-02-01 03:01:52,3.3779,31.7909,72.07,46,18,2.59
263,Touros,BR,2023-02-01 03:00:35,-5.1989,-35.4608,79.47,74,100,13.62
264,Santa Rosa,PH,2023-02-01 02:59:20,14.3122,121.1114,86.09,67,70,14.38
265,Andover,GB,2023-02-01 02:57:53,51.2083,-1.4825,43.68,88,75,13.8
266,Rokupr,SL,2023-02-01 03:01:54,8.6717,-12.395,72.75,83,0,1.66
267,Saskylakh,RU,2023-02-01 03:01:54,71.9167,114.0833,-20.02,98,100,14.14
268,Puerto Escondido,MX,2023-02-01 03:01:54,15.85,-97.0667,75.88,71,2,3.94
269,Yar-Sale,RU,2023-02-01 03:01:55,66.8333,70.8333,14.45,95,100,15.61
270,Ballina,AU,2023-02-01 03:01:55,-28.8667,153.5667,85.01,79,50,9.33
271,Karratha,AU,2023-02-01 03:01:56,-20.7377,116.8463,95.09,43,13,7.25
272,San Fernando,PH,2023-02-01 03:01:56,15.0286,120.6898,82.13,58,67,9.31
273,Gambela,ET,2023-02-01 03:01:56,8.25,34.5833,81.61,39,52,2.53
274,Baherden,TM,2023-02-01 03:01:58,38.4362,57.4316,46.74,88,100,4.36
275,Ocos,GT,2023-02-01 03:01:59,14.5094,-92.1933,78.76,69,7,5.17
276,Mandan,US,2023-02-01 03:01:59,46.8267,-100.8896,6.78,79,75,5.75
277,Klaksvik,FO,2023-02-01 03:02:00,62.2266,-6.589,38.32,93,96,30.51
278,Lahaina,US,2023-02-01 03:02:00,20.8783,-156.6825,79.95,86,96,6.51
279,Kaitangata,NZ,2023-02-01 03:01:19,-46.2817,169.8464,68.31,76,99,7.94
280,Port Hardy,CA,2023-02-01 03:00:54,50.6996,-127.4199,37.58,87,100,11.5
281,Clyde River,CA,2023-02-01 03:02:02,70.4692,-68.5914,-25.37,75,0,6.91
282,Manadhoo,MV,2023-02-01 03:02:03,5.7667,73.3833,80.4,75,100,12.73
283,Nishihara,JP,2023-02-01 03:02:04,26.1842,127.7558,70.88,54,40,11.5
